0, 6:00, 6:00
1, 6:10, 6:20
2, 6:25, 6:35 
3, 6:37, 6:51
4, 6:44, 6:55
5, 7:01, 7:13
6, 7:02, 7:15
7, 7:04, 7:15
8, 7:07, 7:20
9, 7:09, 7:22 
10, 7:15, 7:35
11, 7:19, 7:32
12, 7:22, 7:35
13, 7:25, 7:40 
14, 7:35, 7:55
15, 7:41, 8:01
16, 7:50, 8:10                                      
17, 8:00, 8:20  
18, 8:04, 8:24  
19, 8:19 , 8:39
20, 8:20, 8:40
21, 8:42, 9:00
22, 8:56, 9:11
23, 9:26, 9:41  
24, 9:39, 9:52
25, 9:42, 10:00
26, 9:56, 10:11 
27, 10:26, 10:41
28, 10:44, 11:00
29, 10:56, 11:11
30, 11:27, 11:42
31, 11:44, 12:00
32, 11:56,12:11 
33, 12:14, 12:30    
34, 12:27, 12:42
35, 12:36, 12:52  
36, 12:56, 13:11  
37, 13:27, 13:42
38, 13:44, 14:00
39, 13:56, 14:11  
40, 14:14, 14:32  
41, 14:28, 14:46  
42, 14:56, 15:14
43, 14:57, 15:15
44, 15:14, 15:32
45, 15:20, 15:35
46, 15:28, 15:46
47, 15:41, 15:59
48, 15:56, 16:14  
49, 15:57, 16:15
50, 16:14, 16:32
51, 16:28, 16:46
52, 16:36, 16:54  
53, 16:44, 17:02
54, 16:57, 17:15
55, 17:16, 17:34
56, 17:28, 17:46
57, 17:36, 17:54
58, 17:44, 18:02
59, 17:57, 18:15
60, 18:11, 18:29  
61, 18:26, 18:44
62, 18:28, 18:46
63, 18:52, 19:10
64, 19:11, 19:29
65, 19:30, 19:45
66, 19:33, 19:49  
67, 20:09, 20:24  
68, 20:14, 20:27
69, 20:49, 21:04
70, 21:09, 21:22
